time,Gross Domestic Product (Expenditure) current basic prices index SA,Gross Domestic Product (Income) chained volume index: SA,Gross Domestic Product (Income) current basic prices index SA,Gross Domestic Product (Expenditure) chained volume index: SA,Gross Domestic Product: Year on Year growth: CVM SA %,Gross Domestic Product: Quarter on Quarter growth: CVM SA %,Gross Domestic Product: quarter on quarter growth rate: CP SA %,Gross Domestic Product: q-on-q4 growth quarter growth: CP SA %,Gross Domestic Product: q-on-q4 growth rate CVM SA %,Gross Domestic Product (Income) current basic prices: aligned: SA £m,Gross Domestic Product (Expenditure) chained volume measure SA £m,Gross Domestic Product (Expenditure) current basic prices: aligned:SA £m,Gross Domestic Product at market prices: CP: NSA £m,Gross Domestic Product index: Current price: Seasonally adjusted,Gross Domestic Product: chained volume measures: Seasonally adjusted £m,Gross Domestic Product at market prices: Current price: Seasonally adjusted £m,Gross Domestic Product at market prices:Implied deflator:SA 2017=100,"Gross Domestic Product at market prices, q-on-q4 growth: CP: NSA £m","Gross Domestic Product at market prices, q-on-q1 growth: CP: NSA £m",measure,measure_value
1962,1.6,28.2,1.6,27.6,1.1,NA,NA,NA,NA,27855.0,485515.0,27275.0,29460.0,1.5,542407.0,29460.0,5.3141,NA,NA,NA,NA
1963,1.7,29.1,1.7,29.0,4.9,NA,NA,NA,NA,29107.0,509493.0,29005.0,31324.0,1.6,568846.0,31324.0,5.3867,NA,NA,NA,NA
1964,1.8,30.7,1.8,30.6,5.5,NA,NA,NA,NA,31639.0,538178.0,31557.0,34237.0,1.7,600324.0,34237.0,5.579,NA,NA,NA,NA
1965,1.9,31.5,1.9,31.4,2.1,NA,NA,NA,NA,34147.0,551343.0,33995.0,37036.0,1.9,613184.0,37036.0,5.9093,NA,NA,NA,NA
1966,2.1,31.9,2.1,31.9,1.6,NA,NA,NA,NA,36275.0,559858.0,36275.0,39573.0,2.0,622830.0,39573.0,6.2167,NA,NA,NA,NA
1967,2.2,32.4,2.2,32.7,2.8,NA,NA,NA,NA,38494.0,573887.0,38779.0,41901.0,2.1,640185.0,41901.0,6.4037,NA,NA,NA,NA
1968,2.4,34.2,2.4,34.6,5.4,NA,NA,NA,NA,42023.0,606756.0,42447.0,46008.0,2.3,675018.0,46008.0,6.668,NA,NA,NA,NA
1969,2.6,35.3,2.6,35.0,1.9,NA,NA,NA,NA,45842.0,615175.0,45486.0,49909.0,2.5,688006.0,49909.0,7.0971,NA,NA,NA,NA
1970,2.9,36.2,2.9,36.0,2.7,NA,NA,NA,NA,51710.0,631404.0,51372.0,56177.0,2.9,706651.0,56177.0,7.7755,NA,NA,NA,NA
1971,3.3,37.2,3.3,37.6,3.5,NA,NA,NA,NA,57735.0,659735.0,58338.0,62948.0,3.2,731273.0,62948.0,8.4203,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,44.2
1971,3.3,37.2,3.3,37.6,3.5,NA,NA,NA,NA,57735.0,659735.0,58338.0,62948.0,3.2,731273.0,62948.0,8.4203,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,84.7
1972,3.7,39.2,3.7,39.0,4.3,NA,NA,NA,NA,65761.0,685677.0,65581.0,70663.0,3.6,762732.0,70663.0,9.0608,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,1.5
1972,3.7,39.2,3.7,39.0,4.3,NA,NA,NA,NA,65761.0,685677.0,65581.0,70663.0,3.6,762732.0,70663.0,9.0608,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,45.5
1972,3.7,39.2,3.7,39.0,4.3,NA,NA,NA,NA,65761.0,685677.0,65581.0,70663.0,3.6,762732.0,70663.0,9.0608,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,86.0
1972,3.7,39.2,3.7,39.0,4.3,NA,NA,NA,NA,65761.0,685677.0,65581.0,70663.0,3.6,762732.0,70663.0,9.0608,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,2.9
1973,4.4,41.7,4.4,41.8,6.5,NA,NA,NA,NA,76388.0,734870.0,76747.0,81895.0,4.2,812375.0,81895.0,9.8656,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,2.1
1973,4.4,41.7,4.4,41.8,6.5,NA,NA,NA,NA,76388.0,734870.0,76747.0,81895.0,4.2,812375.0,81895.0,9.8656,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,47.6
1973,4.4,41.7,4.4,41.8,6.5,NA,NA,NA,NA,76388.0,734870.0,76747.0,81895.0,4.2,812375.0,81895.0,9.8656,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,87.7
1973,4.4,41.7,4.4,41.8,6.5,NA,NA,NA,NA,76388.0,734870.0,76747.0,81895.0,4.2,812375.0,81895.0,9.8656,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,4.7
1974,5.0,40.3,4.9,41.2,-2.5,NA,NA,NA,NA,86387.0,723054.0,88238.0,92743.0,4.7,792363.0,92743.0,11.4509,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-0.5
1974,5.0,40.3,4.9,41.2,-2.5,NA,NA,NA,NA,86387.0,723054.0,88238.0,92743.0,4.7,792363.0,92743.0,11.4509,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,46.8
1974,5.0,40.3,4.9,41.2,-2.5,NA,NA,NA,NA,86387.0,723054.0,88238.0,92743.0,4.7,792363.0,92743.0,11.4509,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,87.3
1974,5.0,40.3,4.9,41.2,-2.5,NA,NA,NA,NA,86387.0,723054.0,88238.0,92743.0,4.7,792363.0,92743.0,11.4509,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,-1.7
1975,6.2,39.9,6.1,40.5,-1.5,NA,NA,NA,NA,107809.0,711869.0,109529.0,115176.0,5.8,780634.0,115176.0,14.4393,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-2.1
1975,6.2,39.9,6.1,40.5,-1.5,NA,NA,NA,NA,107809.0,711869.0,109529.0,115176.0,5.8,780634.0,115176.0,14.4393,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,47.1
1975,6.2,39.9,6.1,40.5,-1.5,NA,NA,NA,NA,107809.0,711869.0,109529.0,115176.0,5.8,780634.0,115176.0,14.4393,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,85.4
1975,6.2,39.9,6.1,40.5,-1.5,NA,NA,NA,NA,107809.0,711869.0,109529.0,115176.0,5.8,780634.0,115176.0,14.4393,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,0.6
1976,7.4,40.6,7.2,41.9,2.9,NA,NA,NA,NA,126114.0,734929.0,129995.0,136949.0,7.0,803345.0,136949.0,16.6731,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-1.0
1976,7.4,40.6,7.2,41.9,2.9,NA,NA,NA,NA,126114.0,734929.0,129995.0,136949.0,7.0,803345.0,136949.0,16.6731,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,48.8
1976,7.4,40.6,7.2,41.9,2.9,NA,NA,NA,NA,126114.0,734929.0,129995.0,136949.0,7.0,803345.0,136949.0,16.6731,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,84.6
1976,7.4,40.6,7.2,41.9,2.9,NA,NA,NA,NA,126114.0,734929.0,129995.0,136949.0,7.0,803345.0,136949.0,16.6731,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,3.7
1977,8.5,42.1,8.5,42.5,2.4,NA,NA,NA,NA,148405.0,746677.0,150047.0,159701.0,8.1,822970.0,159701.0,18.9839,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,0.6
1977,8.5,42.1,8.5,42.5,2.4,NA,NA,NA,NA,148405.0,746677.0,150047.0,159701.0,8.1,822970.0,159701.0,18.9839,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,49.6
1977,8.5,42.1,8.5,42.5,2.4,NA,NA,NA,NA,148405.0,746677.0,150047.0,159701.0,8.1,822970.0,159701.0,18.9839,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,85.2
1977,8.5,42.1,8.5,42.5,2.4,NA,NA,NA,NA,148405.0,746677.0,150047.0,159701.0,8.1,822970.0,159701.0,18.9839,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,1.6
1978,10.0,43.5,9.8,44.1,4.2,NA,NA,NA,NA,172682.0,775091.0,175414.0,185968.0,9.4,857553.0,185968.0,21.212,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,0.6
1978,10.0,43.5,9.8,44.1,4.2,NA,NA,NA,NA,172682.0,775091.0,175414.0,185968.0,9.4,857553.0,185968.0,21.212,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,51.2
1978,10.0,43.5,9.8,44.1,4.2,NA,NA,NA,NA,172682.0,775091.0,175414.0,185968.0,9.4,857553.0,185968.0,21.212,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,85.7
1978,10.0,43.5,9.8,44.1,4.2,NA,NA,NA,NA,172682.0,775091.0,175414.0,185968.0,9.4,857553.0,185968.0,21.212,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,3.1
1979,11.8,45.0,11.6,45.5,3.7,NA,NA,NA,NA,204148.0,799327.0,206465.0,220845.0,11.2,889640.0,220845.0,24.282,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,0.9
1979,11.8,45.0,11.6,45.5,3.7,NA,NA,NA,NA,204148.0,799327.0,206465.0,220845.0,11.2,889640.0,220845.0,24.282,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,52.4
1979,11.8,45.0,11.6,45.5,3.7,NA,NA,NA,NA,204148.0,799327.0,206465.0,220845.0,11.2,889640.0,220845.0,24.282,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,86.4
1979,11.8,45.0,11.6,45.5,3.7,NA,NA,NA,NA,204148.0,799327.0,206465.0,220845.0,11.2,889640.0,220845.0,24.282,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,2.4
1980,13.7,44.3,13.6,44.5,-2.0,NA,NA,NA,NA,239302.0,781325.0,240609.0,259962.0,13.2,871598.0,259962.0,29.198,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-2.1
1980,13.7,44.3,13.6,44.5,-2.0,NA,NA,NA,NA,239302.0,781325.0,240609.0,259962.0,13.2,871598.0,259962.0,29.198,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,52.5
1980,13.7,44.3,13.6,44.5,-2.0,NA,NA,NA,NA,239302.0,781325.0,240609.0,259962.0,13.2,871598.0,259962.0,29.198,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,84.6
1980,13.7,44.3,13.6,44.5,-2.0,NA,NA,NA,NA,239302.0,781325.0,240609.0,259962.0,13.2,871598.0,259962.0,29.198,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,0.1
1981,15.4,43.8,15.2,44.4,-0.8,NA,NA,NA,NA,266346.0,779032.0,269657.0,289899.0,14.7,864877.0,289899.0,32.7926,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-4.6
1981,15.4,43.8,15.2,44.4,-0.8,NA,NA,NA,NA,266346.0,779032.0,269657.0,289899.0,14.7,864877.0,289899.0,32.7926,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,54.7
1981,15.4,43.8,15.2,44.4,-0.8,NA,NA,NA,NA,266346.0,779032.0,269657.0,289899.0,14.7,864877.0,289899.0,32.7926,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,80.7
1981,15.4,43.8,15.2,44.4,-0.8,NA,NA,NA,NA,266346.0,779032.0,269657.0,289899.0,14.7,864877.0,289899.0,32.7926,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,4.3
1982,16.7,45.1,16.7,45.2,2.0,NA,NA,NA,NA,292694.0,793882.0,293473.0,319210.0,16.2,882264.0,319210.0,35.3972,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-2.2
1982,16.7,45.1,16.7,45.2,2.0,NA,NA,NA,NA,292694.0,793882.0,293473.0,319210.0,16.2,882264.0,319210.0,35.3972,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,57.2
1982,16.7,45.1,16.7,45.2,2.0,NA,NA,NA,NA,292694.0,793882.0,293473.0,319210.0,16.2,882264.0,319210.0,35.3972,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,79.0
1982,16.7,45.1,16.7,45.2,2.0,NA,NA,NA,NA,292694.0,793882.0,293473.0,319210.0,16.2,882264.0,319210.0,35.3972,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,4.6
1983,18.4,47.0,18.4,47.1,4.2,NA,NA,NA,NA,322784.0,826581.0,323128.0,351109.0,17.8,919512.0,351109.0,37.357,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-1.1
1983,18.4,47.0,18.4,47.1,4.2,NA,NA,NA,NA,322784.0,826581.0,323128.0,351109.0,17.8,919512.0,351109.0,37.357,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,60.2
1983,18.4,47.0,18.4,47.1,4.2,NA,NA,NA,NA,322784.0,826581.0,323128.0,351109.0,17.8,919512.0,351109.0,37.357,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,78.1
1983,18.4,47.0,18.4,47.1,4.2,NA,NA,NA,NA,322784.0,826581.0,323128.0,351109.0,17.8,919512.0,351109.0,37.357,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,5.3
1984,19.7,48.0,19.7,48.0,2.3,NA,NA,NA,NA,346071.0,842761.0,346319.0,377577.0,19.2,940443.0,377577.0,39.2803,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,2.5
1984,19.7,48.0,19.7,48.0,2.3,NA,NA,NA,NA,346071.0,842761.0,346319.0,377577.0,19.2,940443.0,377577.0,39.2803,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,59.9
1984,19.7,48.0,19.7,48.0,2.3,NA,NA,NA,NA,346071.0,842761.0,346319.0,377577.0,19.2,940443.0,377577.0,39.2803,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,80.1
1984,19.7,48.0,19.7,48.0,2.3,NA,NA,NA,NA,346071.0,842761.0,346319.0,377577.0,19.2,940443.0,377577.0,39.2803,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,-0.5
1985,21.7,50.0,21.6,50.2,4.2,NA,NA,NA,NA,379453.0,880665.0,380227.0,414329.0,21.0,979900.0,414329.0,41.3645,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,1.4
1985,21.7,50.0,21.6,50.2,4.2,NA,NA,NA,NA,379453.0,880665.0,380227.0,414329.0,21.0,979900.0,414329.0,41.3645,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,61.7
1985,21.7,50.0,21.6,50.2,4.2,NA,NA,NA,NA,379453.0,880665.0,380227.0,414329.0,21.0,979900.0,414329.0,41.3645,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,81.2
1985,21.7,50.0,21.6,50.2,4.2,NA,NA,NA,NA,379453.0,880665.0,380227.0,414329.0,21.0,979900.0,414329.0,41.3645,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,3.0
1986,23.2,51.5,23.2,51.5,3.1,NA,NA,NA,NA,407008.0,904922.0,407008.0,446413.0,22.7,1010674.0,446413.0,43.2128,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,0.3
1986,23.2,51.5,23.2,51.5,3.1,NA,NA,NA,NA,407008.0,904922.0,407008.0,446413.0,22.7,1010674.0,446413.0,43.2128,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,63.2
1986,23.2,51.5,23.2,51.5,3.1,NA,NA,NA,NA,407008.0,904922.0,407008.0,446413.0,22.7,1010674.0,446413.0,43.2128,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,81.5
1986,23.2,51.5,23.2,51.5,3.1,NA,NA,NA,NA,407008.0,904922.0,407008.0,446413.0,22.7,1010674.0,446413.0,43.2128,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,2.5
1987,25.7,54.2,25.7,54.2,5.3,NA,NA,NA,NA,451617.0,952115.0,451617.0,495534.0,25.2,1064247.0,495534.0,45.545,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,2.3
1987,25.7,54.2,25.7,54.2,5.3,NA,NA,NA,NA,451617.0,952115.0,451617.0,495534.0,25.2,1064247.0,495534.0,45.545,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,65.1
1987,25.7,54.2,25.7,54.2,5.3,NA,NA,NA,NA,451617.0,952115.0,451617.0,495534.0,25.2,1064247.0,495534.0,45.545,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,83.3
1987,25.7,54.2,25.7,54.2,5.3,NA,NA,NA,NA,451617.0,952115.0,451617.0,495534.0,25.2,1064247.0,495534.0,45.545,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,2.9
1988,28.8,57.3,28.8,57.3,5.8,NA,NA,NA,NA,505697.0,1005987.0,505697.0,554896.0,28.2,1125529.0,554896.0,48.2265,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,3.7
1988,28.8,57.3,28.8,57.3,5.8,NA,NA,NA,NA,505697.0,1005987.0,505697.0,554896.0,28.2,1125529.0,554896.0,48.2265,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,66.3
1988,28.8,57.3,28.8,57.3,5.8,NA,NA,NA,NA,505697.0,1005987.0,505697.0,554896.0,28.2,1125529.0,554896.0,48.2265,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,86.4
1988,28.8,57.3,28.8,57.3,5.8,NA,NA,NA,NA,505697.0,1005987.0,505697.0,554896.0,28.2,1125529.0,554896.0,48.2265,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,1.9
1989,31.9,58.8,31.9,58.8,2.6,NA,NA,NA,NA,560735.0,1032608.0,560735.0,613381.0,31.1,1154441.0,613381.0,51.9845,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,2.8
1989,31.9,58.8,31.9,58.8,2.6,NA,NA,NA,NA,560735.0,1032608.0,560735.0,613381.0,31.1,1154441.0,613381.0,51.9845,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,66.2
1989,31.9,58.8,31.9,58.8,2.6,NA,NA,NA,NA,560735.0,1032608.0,560735.0,613381.0,31.1,1154441.0,613381.0,51.9845,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,88.9
1989,31.9,58.8,31.9,58.8,2.6,NA,NA,NA,NA,560735.0,1032608.0,560735.0,613381.0,31.1,1154441.0,613381.0,51.9845,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,-0.2
1990,34.8,59.4,34.8,59.4,0.7,NA,NA,NA,NA,611573.0,1042718.0,611573.0,667435.0,33.9,1162976.0,667435.0,56.159,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-0.3
1990,34.8,59.4,34.8,59.4,0.7,NA,NA,NA,NA,611573.0,1042718.0,611573.0,667435.0,33.9,1162976.0,667435.0,56.159,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,67.0
1990,34.8,59.4,34.8,59.4,0.7,NA,NA,NA,NA,611573.0,1042718.0,611573.0,667435.0,33.9,1162976.0,667435.0,56.159,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,88.6
1990,34.8,59.4,34.8,59.4,0.7,NA,NA,NA,NA,611573.0,1042718.0,611573.0,667435.0,33.9,1162976.0,667435.0,56.159,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,1.2
1991,36.5,59.0,36.5,59.0,-1.1,NA,NA,NA,NA,641456.0,1035521.0,641456.0,703728.0,35.7,1150324.0,703728.0,59.8592,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-4.1
1991,36.5,59.0,36.5,59.0,-1.1,NA,NA,NA,NA,641456.0,1035521.0,641456.0,703728.0,35.7,1150324.0,703728.0,59.8592,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,69.4
1991,36.5,59.0,36.5,59.0,-1.1,NA,NA,NA,NA,641456.0,1035521.0,641456.0,703728.0,35.7,1150324.0,703728.0,59.8592,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,85.0
1991,36.5,59.0,36.5,59.0,-1.1,NA,NA,NA,NA,641456.0,1035521.0,641456.0,703728.0,35.7,1150324.0,703728.0,59.8592,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,3.5
1992,37.8,59.3,37.8,59.3,0.4,NA,NA,NA,NA,663486.0,1040937.0,663486.0,727965.0,37.0,1154592.0,727965.0,61.6903,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-2.7
1992,37.8,59.3,37.8,59.3,0.4,NA,NA,NA,NA,663486.0,1040937.0,663486.0,727965.0,37.0,1154592.0,727965.0,61.6903,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,71.7
1992,37.8,59.3,37.8,59.3,0.4,NA,NA,NA,NA,663486.0,1040937.0,663486.0,727965.0,37.0,1154592.0,727965.0,61.6903,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,82.7
1992,37.8,59.3,37.8,59.3,0.4,NA,NA,NA,NA,663486.0,1040937.0,663486.0,727965.0,37.0,1154592.0,727965.0,61.6903,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,3.3
1993,39.8,60.8,39.8,60.8,2.5,NA,NA,NA,NA,699486.0,1067777.0,699486.0,766408.0,38.9,1183761.0,766408.0,63.346,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-1.2
1993,39.8,60.8,39.8,60.8,2.5,NA,NA,NA,NA,699486.0,1067777.0,699486.0,766408.0,38.9,1183761.0,766408.0,63.346,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,74.4
1993,39.8,60.8,39.8,60.8,2.5,NA,NA,NA,NA,699486.0,1067777.0,699486.0,766408.0,38.9,1183761.0,766408.0,63.346,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,81.8
1993,39.8,60.8,39.8,60.8,2.5,NA,NA,NA,NA,699486.0,1067777.0,699486.0,766408.0,38.9,1183761.0,766408.0,63.346,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,3.8
1994,41.8,63.0,41.8,63.0,3.9,NA,NA,NA,NA,733775.0,1106789.0,733775.0,806420.0,40.9,1229868.0,806420.0,64.1546,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,1.4
1994,41.8,63.0,41.8,63.0,3.9,NA,NA,NA,NA,733775.0,1106789.0,733775.0,806420.0,40.9,1229868.0,806420.0,64.1546,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,76.0
1994,41.8,63.0,41.8,63.0,3.9,NA,NA,NA,NA,733775.0,1106789.0,733775.0,806420.0,40.9,1229868.0,806420.0,64.1546,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,82.9
1994,41.8,63.0,41.8,63.0,3.9,NA,NA,NA,NA,733775.0,1106789.0,733775.0,806420.0,40.9,1229868.0,806420.0,64.1546,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,2.2
1995,43.7,64.4,43.7,64.4,2.5,NA,NA,NA,NA,767205.0,1130333.0,767205.0,846536.0,43.0,1260065.0,846536.0,65.7304,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,1.4
1995,43.7,64.4,43.7,64.4,2.5,NA,NA,NA,NA,767205.0,1130333.0,767205.0,846536.0,43.0,1260065.0,846536.0,65.7304,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,76.6
1995,43.7,64.4,43.7,64.4,2.5,NA,NA,NA,NA,767205.0,1130333.0,767205.0,846536.0,43.0,1260065.0,846536.0,65.7304,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,84.0
